name,artist,artist_followers,artist_genres,album,release_date,album_total_tracks,duration,explicit,popularity
Chân Tình,tlinh,243841,"['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Chân Tình,2021-11-22,1,208000,False,46
Siren,tlinh,243841,"['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Siren,2021-05-21,1,157066,True,46
Đìu Anh Luôn Giữ Kín Trong Tym,tlinh,243841,"['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Đìu Anh Luôn Giữ Kín Trong Tym,2021-07-16,1,176000,False,45
Người Đi Bao,tlinh,243841,"['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Người Đi Bao,2022-06-08,1,194285,False,44
Strip 'em Down,tlinh,243841,"['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Strip ’em Down,2022-08-17,1,196000,True,44
Giáng Sinh Cho Mọi Người,Oplus Band,505,[],Giáng Sinh Cho Mọi Người,2016-12-20,1,276004,True,14
Niềm Tin Phía Trước,Oplus Band,505,[],Niềm Tin Phía Trước,2016-03-07,1,246465,True,8
No Way (Acoustic Version),Oplus Band,505,[],No Way,2016-02-04,3,241057,True,5
Bye Bye,Oplus Band,505,[],We're Still Young,2016-05-09,5,215536,True,5
Con Đường Đã Qua,Oplus Band,505,[],Smooth,2017-05-25,8,252303,True,3
Anh Sẽ Về,Oplus Band,505,[],Anh Sẽ Về,2017-02-14,2,282740,True,3
Một Người Tha Thiết Quay Về,Oplus Band,505,[],Một Người Tha Thiết Quay Về,2018-04-13,1,291428,True,2
Chung Ta (Our Story),Oplus Band,505,[],We're Still Young,2016-05-09,5,249794,True,2
Gió Đầu Mùa,Oplus Band,505,[],Smooth,2017-05-25,8,298734,True,1
Mơ Màng,Oplus Band,505,[],Smooth,2017-05-25,8,234352,True,1
Cà Phê,MIN,841037,['v-pop'],50/50,2022-03-21,8,190526,False,60
Trên Tình Bạn Dưới Tình Yêu,MIN,841037,['v-pop'],50/50,2022-03-21,8,199266,False,56
Bài Này Chill Phết,MIN,841037,['v-pop'],Bài Này Chill Phết,2019,1,276000,False,55
"Đừng Yêu Nữa, Em Mệt Rồi",MIN,841037,['v-pop'],"Đừng Yêu Nữa, Em Mệt Rồi",2019-04-19,1,281454,False,53
Hôn Anh,MIN,841037,['v-pop'],Hôn Anh,2017-07-13,1,234146,False,53
Vì Yêu Cứ Đâm Đầu,MIN,841037,['v-pop'],Vì Yêu Cứ Đâm Đầu,2019-11-10,1,231000,False,50
Có Em Chờ,MIN,841037,['v-pop'],Có Em Chờ,2017-05-10,3,234000,False,49
Em Mới Là Người Yêu Anh,MIN,841037,['v-pop'],Em Mới Là Người Yêu Anh,2018-05-26,3,228979,False,48
Đừng Xin Lỗi Nữa,MIN,841037,['v-pop'],Đừng Xin Lỗi Nữa,2018-01-18,1,231397,False,47
Chưa Bao Giờ Mẹ Kể,MIN,841037,['v-pop'],Chưa Bao Giờ Mẹ Kể,2017-06-30,3,258689,False,45
Muốn Nói 8 - Acoustic,Lê Việt Nam,0,[],Tìm Lại Bản Thân 9,2022-02-25,2,212326,True,0
Tâm Sự Với Người Lạ,Tien Cookie,252657,['v-pop'],Tâm Sự Với Người Lạ,2018-02-24,1,258847,False,44
Sau Tất Cả,Tien Cookie,252657,['v-pop'],Sau Tất Cả,2014-11-26,1,205270,False,28
On Rainy Day,Tien Cookie,252657,['v-pop'],On Rainy Day,2014-11-26,1,227422,False,26
Thưởng Thức Nỗi Buồn,Tien Cookie,252657,['v-pop'],Thưởng Thức Nỗi Buồn,2021-05-07,1,230624,False,21
Chiếc Khăn Gió Ấm,Tien Cookie,252657,['v-pop'],Tình Ca Nguyễn Văn Chung,2017-12-12,17,291582,False,20
Một Chút Quên Em Thôi,Tien Cookie,252657,['v-pop'],Một Chút Quên Em Thôi,2014-11-26,1,217260,False,19
Có Khi Nào Rời Xa (English Ver.),Tien Cookie,252657,['v-pop'],Có Khi Nào Rời Xa (English Ver.),2014-11-26,1,127242,False,17
Valentine Chờ,Tien Cookie,252657,['v-pop'],Valentine Chờ,2012-01-01,1,336600,False,15
Khi Ngày Sau,Tien Cookie,252657,['v-pop'],Khi Ngày Sau,2014-11-26,1,239151,False,15
Đi Từ Phía Mưa,Tien Cookie,252657,['v-pop'],Đi Từ Phía Mưa,2014-11-26,1,255373,False,13
Và Ngày Nào Đó,Trung Quân,416346,['v-pop'],Và Ngày Nào Đó,2022-09-13,1,262311,False,56
Tự Tình 2,Trung Quân,416346,['v-pop'],Tự Tình 2,2022-09-22,1,290976,False,56
Anh Tự Do Nhưng Cô Đơn,Trung Quân,416346,['v-pop'],Anh Tự Do Nhưng Cô Đơn,2022-11-10,1,315428,False,52
Buồn Không Thể Buông,Trung Quân,416346,['v-pop'],Buồn Không Thể Buông,2022-09-30,1,255146,False,51
Tình Nào Không Như Tình Đầu,Trung Quân,416346,['v-pop'],Tình Nào Không Như Tình Đầu,2020-03-09,1,281960,False,49
Dấu Mưa,Trung Quân,416346,['v-pop'],Dấu Mưa,2013-10-25,2,260094,False,47
Chưa Bao Giờ,Trung Quân,416346,['v-pop'],Chưa Bao Giờ,2015-08-20,1,273960,False,43
Ai Chung Tình Được Mãi (Cover),Trung Quân,416346,['v-pop'],Ai Chung Tình Được Mãi (Cover),2022-04-19,2,348900,False,43
Chiều Nay Không Có Mưa Bay,Trung Quân,416346,['v-pop'],Những Bài Hát Hay Nhất Của Trung Quân Idol,2020-01-01,45,296556,False,41
Trái Đất Tròn Không Gì Là Không Thể,Trung Quân,416346,['v-pop'],Trái Đất Tròn Không Gì Là Không Thể,2015-12-21,1,253504,False,41
change,nhac viet nam,1842,[],change,2010-01-01,1,240796,False,0
Rose City Card,nhac viet nam,1842,[],Rose City Card,2010-01-01,1,239725,False,0
Omnibus - xe buyt 2 tang,nhac viet nam,1842,[],nhac viet nam,2010-01-01,1,258455,False,0
"Khi Cô Đơn Em Nhớ Ai (Lofi) - From ""Chill With Vicky Nhung - Season 2: Memory""",Vicky Nhung,32191,['v-pop'],"Khi Cô Đơn Em Nhớ Ai (Lofi) [From ""Chill With Vicky Nhung - Season 2: Memory""]",2021-08-31,1,255157,False,52
"Một Thuở Yêu Người (Lofi) - From ""Chill With Vicky Nhung, Season 2: Memory""",Vicky Nhung,32191,['v-pop'],"Một Thuở Yêu Người (Lofi) [From ""Chill With Vicky Nhung, Season 2: Memory""]",2021-08-17,1,244210,False,50
Tình Nhạt Phai,Vicky Nhung,32191,['v-pop'],Tình Nhạt Phai,2021-03-04,2,184122,False,47
"Những Lời Dối Gian (Lofi) - From ""Chill With Vicky Nhung - Season 2: Memory""",Vicky Nhung,32191,['v-pop'],"Những Lời Dối Gian (Lofi) [From ""Chill With Vicky Nhung - Season 2: Memory""]",2021-09-04,1,232727,False,47
"Tình Nồng (Lofi) - From ""Chill With Vicky Nhung -Season 2: Memory""",Vicky Nhung,32191,['v-pop'],"Tình Nồng (Lofi) [From ""Chill With Vicky Nhung -Season 2: Memory""]",2021-08-21,1,264000,False,42
"Tình Đơn Côi (Lofi) - From ""Chill With Vicky Nhung, Season 3: Remember",Vicky Nhung,32191,['v-pop'],"Tình Đơn Côi (Lofi) [From ""Chill With Vicky Nhung, Season 3: Remember]",2022-03-11,1,235238,False,37
Một Đêm,Vicky Nhung,32191,['v-pop'],Một Đêm,2021-05-22,1,229557,False,35
Ngôi Nhà Hoa Hồng Mashup Mỗi Người Một Nơi - Mashup7,Vicky Nhung,32191,['v-pop'],Ngôi Nhà Hoa Hồng Mashup Mỗi Người Một Nơi (Mashup7),2020-12-25,1,305170,False,35
Giá Như Ta Chẳng Biết Nhau,Vicky Nhung,32191,['v-pop'],Giá Như Ta Chẳng Biết Nhau,2020-06-02,1,259990,True,34
"Hoa Nào Anh Quên (Lofi) - From ""Chill With Vicky Nhung - Season 2: Memory""",Vicky Nhung,32191,['v-pop'],"Hoa Nào Anh Quên (Lofi) [From ""Chill With Vicky Nhung - Season 2: Memory""]",2021-09-11,1,251967,False,34
Yêu Người Có Ước Mơ,buitruonglinh,118269,"['indie viet', 'v-pop']",Bài Hát Hay Nhất - Big Song Big Deal (Tập 6),2022-11-07,5,283520,False,59
Dù Cho Mai Về Sau,buitruonglinh,118269,"['indie viet', 'v-pop']",Dù Cho Mai Về Sau,2020-11-17,2,233975,False,57
Đường Tôi Chở Em Về,buitruonglinh,118269,"['indie viet', 'v-pop']",Đường Tôi Chở Em Về,2020-07-03,1,266000,False,54
Dù Cho Mai Về Sau - Acoustic Version,buitruonglinh,118269,"['indie viet', 'v-pop']",Dù Cho Mai Về Sau (Acoustic Version),2020-01-12,2,213490,False,54
Em Không Khóc (feat. Vũ Phụng Tiên),buitruonglinh,118269,"['indie viet', 'v-pop']",Em Không Khóc (feat. Vũ Phụng Tiên),2022-03-28,1,269624,False,53
Nếu Em Còn Đợi Anh,buitruonglinh,118269,"['indie viet', 'v-pop']",Vọng,2022-12-14,7,233333,False,44
Đường Tôi Chở Em Về (Cukak Remix),buitruonglinh,118269,"['indie viet', 'v-pop']",Đường Tôi Chở Em Về (Cukak Remix),2021-07-07,2,248769,False,44
Một Mình Ta,buitruonglinh,118269,"['indie viet', 'v-pop']",Một Mình Ta,2020-07-03,1,271500,False,41
Em à,buitruonglinh,118269,"['indie viet', 'v-pop']",Em à,2020-07-03,1,158000,False,40
Lâu Không Cười,buitruonglinh,118269,"['indie viet', 'v-pop']",Lâu Không Cười,2022-03-24,1,326307,False,38
Blue After Dark,Viet Nam Producer,17,[],Blue After Dark,2021-04-15,1,248674,False,0
Lãng Quên Chiều Thu,Lam Truong,127938,"['v-pop', 'vietnamese pop']",Đi Qua Bốn Mùa,2015-09-21,9,295186,False,36
Mãi Mãi,Lam Truong,127938,"['v-pop', 'vietnamese pop']",Mãi Mãi,1999-06-28,15,274840,False,32
Katy,Lam Truong,127938,"['v-pop', 'vietnamese pop']",Đôi Chân Thiên Thần,2004-07-21,12,206666,False,29
Việt Nam Tử Tế,Lam Truong,127938,"['v-pop', 'vietnamese pop']",Việt Nam Tử Tế,2020-05-05,2,211380,False,28
Lãng Quên Chiều Thu - Live,Lam Truong,127938,"['v-pop', 'vietnamese pop']",Lam Truong 9Pm Live,2018-08-24,9,259754,False,26
Điệp khúc mùa xuân,Lam Truong,127938,"['v-pop', 'vietnamese pop']",Mùa xuân đầu tiên,2007-01-01,12,259635,False,25
Nỗi Nhớ Dịu Êm,Lam Truong,127938,"['v-pop', 'vietnamese pop']",Trái Tim Không Ngủ Yên,2019-11-21,14,290742,False,24
Gót Hồng,Lam Truong,127938,"['v-pop', 'vietnamese pop']",Gót Hồng,2018-08-09,10,288444,False,22
Tiễn bạn lận đường,Lam Truong,127938,"['v-pop', 'vietnamese pop']",Thuyền giấy chiều mưa,1999-01-01,12,395453,False,21
"Mashup Mưa Phi Trường, Chợt Thấy Em Khóc - Live",Lam Truong,127938,"['v-pop', 'vietnamese pop']",Lam Truong 9Pm Live,2018-08-24,9,270769,False,21
Pho Nganh,Ban Viet-nam,1,[],South East Asia Today,2000-02-05,10,206333,False,0
Rạng Rỡ Việt Nam,Nhóm Giai Điệu Xanh,15,[],Sử Ca Việt Nam 2,2015-01-01,14,327488,False,6
Khát Vọng Tuổi Trẻ,Nhóm Giai Điệu Xanh,15,[],Dấu Chân Tình Nguyện,2018-08-27,14,225828,False,1
Đến với con người Việt Nam tôi,Nhóm Giai Điệu Xanh,15,[],Tình ca màu xanh,2016-01-01,10,249208,False,1
Dấu Chân Tình Nguyện,Nhóm Giai Điệu Xanh,15,[],Dấu Chân Tình Nguyện,2018-08-27,14,200411,False,0
Mùa Hè Sinh Viên,Nhóm Giai Điệu Xanh,15,[],Dấu Chân Tình Nguyện,2018-08-27,14,209397,False,0
Long Lanh Mùa Hè Xanh,Nhóm Giai Điệu Xanh,15,[],Dấu Chân Tình Nguyện,2018-08-27,14,208300,False,0
Thành Phố Anh Hùng,Nhóm Giai Điệu Xanh,15,[],Mãi Mãi Tuổi 20,2015-01-01,17,276048,False,0
Chân Trời Mới Gọi Ta,Nhóm Giai Điệu Xanh,15,[],Dấu Chân Tình Nguyện,2018-08-27,14,216241,False,0
Thanh Niên Vì Ngày Mai,Nhóm Giai Điệu Xanh,15,[],Dấu Chân Tình Nguyện,2018-08-27,14,179748,False,0
Thành Phố Anh Hùng (Bonus nhạc nền),Nhóm Giai Điệu Xanh,15,[],Mãi Mãi Tuổi 20,2015-01-01,17,259095,False,0
Cứ Chill Thôi,Rhymastic,496654,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Cứ Chill Thôi,2020-07-11,1,270000,False,60
Yêu 5,Rhymastic,496654,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Yêu 5,2017-01-01,1,240000,False,57
Nến Và Hoa,Rhymastic,496654,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Nến Và Hoa,2018-08-19,1,166000,False,52
A Veil of Mist,Rhymastic,496654,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",KOSMIK,2022-10-31,11,302000,False,50
Ngổn Ngang,Rhymastic,496654,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",LOV6,2022-09-15,6,194600,False,47
Freaky Squad (feat. Touliver),Rhymastic,496654,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Freaky Squad (feat. Touliver),2021-11-30,1,196800,False,46
Y6U,Rhymastic,496654,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",LOV6,2022-09-15,6,232935,False,42
Luật rừng,Rhymastic,496654,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Luật rừng,2022-08-04,1,193600,False,42
Side Effects (feat. B-Wine),Rhymastic,496654,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",LOV6,2022-09-15,6,273807,False,41
Lạc,Rhymastic,496654,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Lạc,2021-10-22,1,237531,False,41
Bi Trường Kịch Lá Sầu Riêng,Kịch Đoàn Việt Nam,2,[],Lóng Lánh Tình Yêu (Hollywood Night 20),1999-01-01,11,5171370,False,0
Mẹ tình yêu,Hợp ca Asia,61,[],Giáng Sinh Họp Mặt,2012-12-06,13,261479,False,3
Việt Nam quê hương ngạo nghễ,Hợp ca Asia,61,[],Sài Gòn Kỷ Niệm,2011-07-22,11,221173,False,9
Liên khúc Silent night,Hợp ca Asia,61,[],Màu Xanh Noel,2010-12-09,14,299600,False,7
Đáp lời núi sông,Hợp ca Asia,61,[],Thiên Thần Trong Bóng Tối,2011-11-04,8,194720,False,5
Việt Nam Việt Nam,Hợp ca Asia,61,[],Thiên Thần Trong Bóng Tối,2011-11-04,3,214906,False,3
Thanh niên hành khúc - Lưu Hữu Phước,Hợp ca Asia,61,[],Thiên Thần Trong Bóng Tối,2011-11-04,3,91120,False,2
Medley: What Child is this? - Merry Christmas and Happy New Year,Hợp ca Asia,61,[],Giáng Sinh Họp Mặt,2012-12-06,13,282500,False,2
Hát cho Sài Gòn quật khởi,Hợp ca Asia,61,[],Sài Gòn,2015-01-01,11,222146,False,1
Liên Khúc Xuân Ca - Xuân Họp Mặt - Xuân Nghệ Sĩ Hành Khúc,Hợp ca Asia,61,[],Liên Khúc Mùa Xuân,2015-01-01,19,294037,False,1
Liên khúc Tự do,Hợp ca Asia,61,[],Bên Em Đang Có Ta,2015-01-01,7,379626,False,0
có hẹn với thanh xuân,Orange,227429,['v-pop'],Hương Mùa Hè,2022-07-24,17,222000,False,58
lời tạm biệt chưa nói,Orange,227429,['v-pop'],Hương Mùa Hè,2022-07-24,17,259114,False,56
"Tự Sự - Original Soundtrack from ""Qua Bển Làm Chi""",Orange,227429,['v-pop'],"Tự Sự (Original Soundtrack from ""Qua Bển Làm Chi"")",2022-05-20,1,257000,False,53
Khi Em Lớn,Orange,227429,['v-pop'],Khi Em Lớn,2021-04-20,1,228094,False,53
Em Hát Ai Nghe,Orange,227429,['v-pop'],Em Hát Ai Nghe,2021-08-18,1,279152,False,51
khi cô đơn em nhớ đến ai,Orange,227429,['v-pop'],Hương Mùa Hè EP.01,2022-07-03,5,269387,False,50
Tinh Nhan Oi,Orange,227429,['v-pop'],Tinh Nhan Oi,2019-01-07,1,254819,False,45
Em Hát Ai Nghe - Lofi,Orange,227429,['v-pop'],Em Hát Ai Nghe (Lofi),2021-08-23,1,199680,False,44
Chân Ái,Orange,227429,['v-pop'],Chân Ái,2020-04-15,2,262826,False,40
Mặt Trời Khóc,Orange,227429,['v-pop'],Mặt Trời Khóc,2022-07-15,1,226682,False,44
08 - Loi doi dom hoa (Minh Canh),Ca co Viet Nam,311,[],Chuong trinh ca co,2001,9,389825,False,0
03 - Nghia kim bang (Minh Canh),Ca co Viet Nam,311,[],Chuong trinh ca co,2001,9,365923,False,0
02 - Trong loan Thang Long Thanh (Minh Canh),Ca co Viet Nam,311,[],Chuong trinh ca co,2001,9,386455,False,0
09 - Em toi lam chieu dai (Minh Canh),Ca co Viet Nam,311,[],Chuong trinh ca co,2001,9,377417,False,0
01 - To Vo chan de (Minh Canh),Ca co Viet Nam,311,[],Chuong trinh ca co,2001,9,375327,False,0
04 - Ngoai troi giong bao (Minh Canh-Minh Chi-Dieu Hien),Ca co Viet Nam,311,[],Chuong trinh ca co,2001,9,754311,False,0
06 - Ly ruou doan vien (Minh Canh-Ngoc Huong),Ca co Viet Nam,311,[],Chuong trinh ca co,2001,9,390922,False,0
07 - Nguoi gac cong (Minh Canh),Ca co Viet Nam,311,[],Chuong trinh ca co,2001,9,350615,False,0
05 - Dua con dat nuoc (Minh Canh),Ca co Viet Nam,311,[],Chuong trinh ca co,2001,9,381231,False,0
Anh Ơi Ở Lại,Chi Pu,293128,['v-pop'],Anh Ơi Ở Lại,2019,1,292379,False,48
คิดมาก - เพลงประกอบภาพยนตร์ Friend Zone ระวัง..สิ้นสุดทางเพื่อน,Chi Pu,293128,['v-pop'],เพลงประกอบภาพยนตร์ Friend Zone ระวัง..สิ้นสุดทางเพื่อน,2019-01-31,1,218974,False,42
Mời Anh Vào Team Em,Chi Pu,293128,['v-pop'],Mời Anh Vào Team Em,2018-11-27,1,195000,False,37
Shh! Chỉ Ta Biết Thôi - OST Chị Chị Em Em,Chi Pu,293128,['v-pop'],"Shh! Chỉ Ta Biết Thôi (From ""Chị Chị Em Em"")",2019,1,225306,False,36
Nếu Mình Gần Nhau,Chi Pu,293128,['v-pop'],Nếu Mình Gần Nhau,2019-01-18,1,196062,False,35
Cung Đàn Vỡ Đôi,Chi Pu,293128,['v-pop'],Cung Đàn Vỡ Đôi,2020-06-04,1,316910,False,33
Cung Đàn Vỡ Đôi (Remix),Chi Pu,293128,['v-pop'],Cung Đàn Vỡ Đôi (Remix),2020-08-17,1,223597,False,32
Talk To Me (Co Nen Dung Lai?),Chi Pu,293128,['v-pop'],Talk To Me (Co Nen Dung Lai?),2017,1,261333,False,32
Black Hickey - Con Dấu Chủ Quyền,Chi Pu,293128,['v-pop'],Black Hickey (Con Dấu Chủ Quyền),2022-08-08,1,233379,False,30
Sashimi,Chi Pu,293128,['v-pop'],Sashimi,2022-09-09,1,231652,False,30
Tháng Năm,SOOBIN,847733,['v-pop'],The Playah,2020-12-15,3,225358,False,53
Beautiful Monster,SOOBIN,847733,['v-pop'],KOSMIK,2022-10-31,11,235354,False,51
Anh Đã Quen Với Cô Đơn,SOOBIN,847733,['v-pop'],Anh Đã Quen Với Cô Đơn,2017-03-14,1,268178,False,51
A Veil of Mist,SOOBIN,847733,['v-pop'],KOSMIK,2022-10-31,11,302000,False,50
Ngày Mai Em Đi,SOOBIN,847733,['v-pop'],Ngày Mai Em Đi,2017-08-02,1,218400,False,50
Nếu Ngày Ấy,SOOBIN,847733,['v-pop'],Nếu Ngày Ấy,2019-07-22,1,292693,False,46
The Playah (feat. SlimV) - Special Performance,SOOBIN,847733,['v-pop'],The Playah (feat. SlimV) [Special Performance],2021-05-14,1,449577,False,46
Freaky Squad (feat. Touliver),SOOBIN,847733,['v-pop'],Freaky Squad (feat. Touliver),2021-11-30,1,196800,False,46
Vai Lan Don Dua,SOOBIN,847733,['v-pop'],Vai Lan Don Dua,2017-01-27,1,170666,False,46
Đi Để Trở Về,SOOBIN,847733,['v-pop'],Đi Để Trở Về,2017-01-17,1,202084,False,45
Chân Trời Mới Mười Hai,đặc công việt nam,55,[],Chân Trời Mới Hai,2022-03-07,3,206500,False,0
Chân Trời Mới Năm,đặc công việt nam,55,[],Chân Trời Mới Hai,2022-03-07,3,185500,False,0
Chân Trời Mới Hai,đặc công việt nam,55,[],Chân Trời Mới Hai,2022-03-07,3,232500,False,0
Buồn Thì Cứ Khóc Đi,Lynk Lee,134346,"['v-pop', 'vietnamese hip hop', 'vietnamese singer-songwriter']",Buồn Thì Cứ Khóc Đi,2019-12-13,1,222314,False,60
Tát Nước Đầu Đình,Lynk Lee,134346,"['v-pop', 'vietnamese hip hop', 'vietnamese singer-songwriter']",Tát Nước Đầu Đình,2015-09-05,1,243004,False,47
Rapcoustic 5,Lynk Lee,134346,"['v-pop', 'vietnamese hip hop', 'vietnamese singer-songwriter']",Rapcoustic 5,2019-10-10,1,547154,False,42
Tạm Biệt Nhé,Lynk Lee,134346,"['v-pop', 'vietnamese hip hop', 'vietnamese singer-songwriter']",Những Bài Hát Hay Về Học Trò,2017-01-17,9,287249,False,40
Một thời đã xa,Lynk Lee,134346,"['v-pop', 'vietnamese hip hop', 'vietnamese singer-songwriter']",Một thời đã xa,2018-03-12,1,305301,False,38
Không Dám,Lynk Lee,134346,"['v-pop', 'vietnamese hip hop', 'vietnamese singer-songwriter']",Không Dám,2020-06-24,1,215325,False,34
Ngày Ấy Bạn Và Tôi,Lynk Lee,134346,"['v-pop', 'vietnamese hip hop', 'vietnamese singer-songwriter']",Những Bài Hát Hay Về Học Trò,2017-01-17,9,318214,False,34
Nắm chặt tay anh nhé,Lynk Lee,134346,"['v-pop', 'vietnamese hip hop', 'vietnamese singer-songwriter']",Nắm chặt tay anh nhé,2018-01-01,2,272001,False,32
Tát Nước Đầu Đình,Lynk Lee,134346,"['v-pop', 'vietnamese hip hop', 'vietnamese singer-songwriter']",Tát Nước Đầu Đình (Cowvy Version),2021-08-08,1,282361,False,31
Cho Tôi Xin Một Vé Đi Tuổi Thơ,Lynk Lee,134346,"['v-pop', 'vietnamese hip hop', 'vietnamese singer-songwriter']",Cho Tôi Xin Một Vé Đi Tuổi Thơ,2013-01-01,1,341692,False,21
Cho Mình Em,Binz,805312,"['v-pop', 'vietnamese hip hop']",Cho Mình Em,2021-04-01,1,206400,False,52
Beautiful Monster,Binz,805312,"['v-pop', 'vietnamese hip hop']",KOSMIK,2022-10-31,11,235354,False,51
A Veil of Mist,Binz,805312,"['v-pop', 'vietnamese hip hop']",KOSMIK,2022-10-31,11,302000,False,50
Don't Break My Heart,Binz,805312,"['v-pop', 'vietnamese hip hop']",Don't Break My Heart,2022-03-14,1,237600,False,49
Bigcityboi (feat. Touliver),Binz,805312,"['v-pop', 'vietnamese hip hop']",Bigcityboi (feat. Touliver),2020-07-05,1,201599,True,47
SO FAR,Binz,805312,"['v-pop', 'vietnamese hip hop']",SO FAR,2018-11-01,1,204602,False,46
Freaky Squad (feat. Touliver),Binz,805312,"['v-pop', 'vietnamese hip hop']",Freaky Squad (feat. Touliver),2021-11-30,1,196800,False,46
Sao Cũng Được,Binz,805312,"['v-pop', 'vietnamese hip hop']",Sao Cũng Được,2018-03-08,1,266750,False,45
Tinh Nhan Oi,Binz,805312,"['v-pop', 'vietnamese hip hop']",Tinh Nhan Oi,2019-01-07,1,254819,False,45
So Close,Binz,805312,"['v-pop', 'vietnamese hip hop']",So Close,2019-08-24,1,199578,False,44
"Bài Ka Tuổi Trẻ (feat. Vũ Bùi Thu Thủy, Linh Cáo & Mel G)",JGKiD (Da LAB),59750,['vietnamese hip hop'],"Bài Ka Tuổi Trẻ (feat. Vũ Bùi Thu Thủy, Linh Cáo & Mel G)",2016-05-19,1,229681,False,43
Đêm Qua,JGKiD (Da LAB),59750,['vietnamese hip hop'],Đêm Qua,2012-11-28,1,230896,False,33
Hát cho đời và hát cho em,JGKiD (Da LAB),59750,['vietnamese hip hop'],Hát cho đời và hát cho em,2015-02-14,1,208744,False,27
CILU,JGKiD (Da LAB),59750,['vietnamese hip hop'],CILU,2020-11-30,2,194181,False,26
Trò Chơi Thua Cuộc,JGKiD (Da LAB),59750,['vietnamese hip hop'],Trò Chơi Thua Cuộc,2022-02-14,1,184748,False,25
Cây bàng,JGKiD (Da LAB),59750,['vietnamese hip hop'],Cây bàng,2012-02-18,1,188969,False,22
CILU - Cukak Remix,JGKiD (Da LAB),59750,['vietnamese hip hop'],CILU (Cukak Remix),2020-12-21,1,196301,False,11
Bạn Bè,JGKiD (Da LAB),59750,['vietnamese hip hop'],Bạn Bè,2015-09-19,1,215040,True,11
CILU - Instrumental,JGKiD (Da LAB),59750,['vietnamese hip hop'],CILU,2020-11-30,2,194181,False,8
Một Mình - Live In Concert,JGKiD (Da LAB),59750,['vietnamese hip hop'],Ký Ức Và Thời Gian - Live In Concert,2021-07-15,12,298000,False,7
Waiting For You,MONO,110554,['v-pop'],22,2022-08-18,11,265600,False,66
Em Là,MONO,110554,['v-pop'],22,2022-08-18,11,197333,False,61
Anh Không Thể,MONO,110554,['v-pop'],22,2022-08-18,11,219698,False,48
Quên Anh Đi,MONO,110554,['v-pop'],22,2022-08-18,11,245625,False,46
Kill Me,MONO,110554,['v-pop'],22,2022-08-18,11,228571,False,43
Buông,MONO,110554,['v-pop'],22,2022-08-18,11,149166,False,40
L.I.E,MONO,110554,['v-pop'],22,2022-08-18,11,226235,False,38
Do You,MONO,110554,['v-pop'],22,2022-08-18,11,218052,False,37
Intro,MONO,110554,['v-pop'],22,2022-08-18,11,59791,False,36
Cô nương Ahhhh~,MONO,110554,['v-pop'],22,2022-08-18,11,56200,False,34
Họ Yêu Ai Mất Rồi,Doãn Hiếu,54918,['v-pop'],Họ Yêu Ai Mất Rồi,2021-01-20,1,286725,False,46
Hình Như Ta Thích Nhau - Speed Up Version,Doãn Hiếu,54918,['v-pop'],Hình Như Ta Thích Nhau (Speed Up Version),2022-10-21,1,179555,False,43
Họ Yêu Ai Mất Rồi - Lofi Version,Doãn Hiếu,54918,['v-pop'],Họ Yêu Ai Mất Rồi (Lofi Version),2021-03-12,1,331039,False,39
Nụ Cười 18 20 - Lofi Version,Doãn Hiếu,54918,['v-pop'],Nụ Cười 18 20 (Lofi Version),2021-04-01,1,273069,False,37
Hình Như Ta Thích Nhau,Doãn Hiếu,54918,['v-pop'],Hình Như Ta Thích Nhau,2022-10-20,1,212869,False,36
Bao Lâu Ta Lại Yêu Một Người,Doãn Hiếu,54918,['v-pop'],Bao Lâu Ta Lại Yêu Một Người,2021-10-05,1,230588,False,35
Bao Lâu Ta Lại Yêu Một Người - Lofi Version,Doãn Hiếu,54918,['v-pop'],Bao Lâu Ta Lại Yêu Một Người (Lofi Version),2021-10-09,1,234926,False,31
Một Thời Nhanh Như Một Ngày - Official Lofi,Doãn Hiếu,54918,['v-pop'],Một Thời Nhanh Như Một Ngày (Official Lofi),2022-09-14,1,254650,False,30
Nụ Cười 18 20 - Lofi Version,Doãn Hiếu,54918,['v-pop'],Nụ Cười 18 20 (Lofi Version),2021-07-07,1,160658,False,29
Một Thời Nhanh Như Một Ngày,Doãn Hiếu,54918,['v-pop'],Một Thời Nhanh Như Một Ngày,2022-08-17,1,256778,False,28
